id,prtg_id,opd_id,isp_id,band_id
1,17508,1,1,1
2,17386,10,1,3
3,17388,11,1,3
4,17394,12,1,1
5,,13,1,1
6,17455,14,1,1
7,14311,15,1,1
8,14521,16,1,1
9,14677,17,1,1
10,14804,18,1,1
11,15072,19,1,1
12,17519,2,1,1
13,15290,20,1,1
14,15026,21,1,1
15,15498,22,1,1
16,15608,23,1,1
17,15626,24,1,1
18,15746,25,1,1
19,15856,26,1,1
20,16001,27,1,1
21,16028,28,1,1
22,16077,29,1,1
23,19475,3,1,1
24,19492,30,1,1
25,16205,31,1,1
26,16361,32,1,1
27,16376,33,1,1
28,16386,34,1,1
29,16405,35,1,1
30,,36,1,1
31,16061,37,1,1
32,19479,38,1,1
33,17563,4,1,1
34,19477,5,1,1
35,14849,6,1,1
36,15346,7,1,1
37,15119,8,1,1
38,13871,9,1,3
39,17968,1,2,3
40,,12,2,3
41,17959,13,2,3
42,17971,14,2,3
43,,15,2,3
44,17969,2,2,3
45,17960,22,2,3
46,17963,23,2,3
47,17961,28,2,3
48,17949,3,2,3
49,17952,33,2,3
50,17947,34,2,3
51,17949,35,2,3
52,17948,37,2,3
53,17950,38,2,3
54,17970,39,2,3
55,17951,4,2,3
56,17965,5,2,3
57,17954,6,2,3
58,17966,7,2,3
59,17964,8,2,3
60,,10,3,3
61,,11,3,3
62,,16,3,3
63,,17,3,3
64,,18,3,3
65,,19,3,3
66,,20,3,3
67,,21,3,3
68,,24,3,3
69,17982,25,3,3
70,,26,3,3
71,,27,3,3
72,,29,3,3
73,,30,3,3
74,,31,3,3
75,,32,3,3
76,,35,3,1
77,,9,3,3
